"project","num_forks","num_files","project_age","num_stars","ratio_old_volunteers","fork_entropy","num_integrated_commits","num_forks_rq2","num_files_rq2","ratio_old_volunteers_rq2","ratio_prs_with_tests","ratio_prs_with_hot_files","fork_entropy_rq2","num_closed_prs","ratio_merged_prs","num_bug_report_issues"
"AFNetworking/AFNetworking",6,10,61,4978,0,0.76592060708422,7,4,2,0,0,0,0.735030132564333,4,1,1
"AFNetworking/AFNetworking",13,40,92,5185,0,0.722928401278102,10,3,15,0,0,0.5,0.544708525310999,4,0.25,1
"AFNetworking/AFNetworking",12,102,122,5390,0.128205128205128,0.750799230302853,9,8,97,0.333333333333333,0.0833333333333333,0.833333333333333,0.801445642512044,12,0.5,2
"AFNetworking/AFNetworking",12,45,153,5574,0.0140845070422535,0.773687341835457,13,7,56,0,0,1,0.670101578583394,9,0.222222222222222,0
"AFNetworking/AFNetworking",7,46,183,5784,0.0588235294117647,0.620322855825933,7,7,7,0.125,0,1,0.768499176355673,8,0.875,1
"AFNetworking/AFNetworking",19,38,214,5985,0.289473684210526,0.719872969525239,13,8,15,0.363636363636364,0,1,0.806433216836974,11,0.454545454545455,1
"AFNetworking/AFNetworking",8,24,245,6269,0.2,0.831922923826073,15,6,19,0,0,1,0.688285283460993,8,0.75,2
"AFNetworking/AFNetworking",13,39,274,6732,0.147058823529412,0.755091122630298,17,7,6,0,0,1,0.820091940036299,8,0.375,4
"AFNetworking/AFNetworking",13,27,305,7137,0.517241379310345,0.75237832366837,16,7,21,0.4,0,1,0.723364343410453,10,0.6,2
"AFNetworking/AFNetworking",8,23,335,7542,0,0.827658835357772,1,6,5,0.142857142857143,0,1,0.754116968208088,7,0.571428571428571,3
"AFNetworking/AFNetworking",13,35,366,8026,0.1,0.752505171767047,4,7,21,0.142857142857143,0,1,0.64349796473083,7,0.428571428571429,2
"AFNetworking/AFNetworking",20,44,396,8455,0.0909090909090909,0.638549691044614,4,4,4,0,0,1,0.663527820156753,4,0.75,2
"AFNetworking/AFNetworking",22,48,427,8970,0.152173913043478,0.657755428508366,7,8,6,0.125,0,1,0.716353264111051,8,0.5,2
"AFNetworking/AFNetworking",28,61,458,9404,0,0.777325303703353,11,9,21,0,0,1,0.616088098035587,11,0.727272727272727,5
"AFNetworking/AFNetworking",24,46,488,9712,0.0333333333333333,0.821609743838487,16,14,41,0.0625,0,0.9375,0.687302559054922,16,0.5,3
"AFNetworking/AFNetworking",34,48,519,9985,0.0447761194029851,0.770122113437087,20,13,17,0.0714285714285714,0,0.928571428571429,0.799352215775474,14,0.428571428571429,3
"AFNetworking/AFNetworking",19,61,549,10204,0.129032258064516,0.695413401132375,7,8,18,0.125,0,1,0.722786513624836,8,0.375,4
"AFNetworking/AFNetworking",29,49,580,10640,0.0869565217391304,0.706250940592579,9,8,26,0.375,0,1,0.52856670591224,8,0.375,4
"AFNetworking/AFNetworking",40,49,611,10850,0.0222222222222222,0.69219505659381,11,15,38,0.125,0.0625,1,0.743455915100274,16,0.4375,2
"AFNetworking/AFNetworking",32,67,639,11013,0.169491525423729,0.707699745195443,16,15,11,0.388888888888889,0,1,0.788307215332101,18,0.444444444444444,3
"AFNetworking/AFNetworking",33,51,670,11187,0,0.7928748108407,21,16,19,0,0,1,0.716335805628632,19,0.473684210526316,4
"AFNetworking/AFNetworking",41,109,700,11321,0.244897959183673,0.587515530725051,34,18,31,0.347826086956522,0.391304347826087,0.869565217391304,0.561315006503111,23,0.652173913043478,6
"AFNetworking/AFNetworking",33,88,731,11433,0.0704225352112676,0.695943080515926,9,11,31,0.266666666666667,0.4,1,0.68313873642252,15,0.533333333333333,1
"AFNetworking/AFNetworking",35,52,761,11526,0,0.650324554863487,16,16,22,0.0555555555555556,0.333333333333333,0.944444444444444,0.650825894980032,18,0.611111111111111,4
"AFNetworking/AFNetworking",34,61,792,11648,0.285714285714286,0.636684027735687,25,18,24,0.461538461538462,0.0769230769230769,0.846153846153846,0.520945382718665,26,0.653846153846154,6
"AFNetworking/AFNetworking",35,102,823,11738,0.0147058823529412,0.408408968758072,20,18,74,0.0454545454545455,0.136363636363636,0.636363636363636,0.454533931650276,21,0.714285714285714,10
"AFNetworking/AFNetworking",61,98,853,11807,0.0896551724137931,0.521025118807731,38,37,36,0.152173913043478,0.130434782608696,1,0.571802316636864,45,0.577777777777778,12
"AFNetworking/AFNetworking",32,68,884,11866,0.2,0.653415027772109,19,13,47,0.523809523809524,0.238095238095238,0.952380952380952,0.657151358278568,21,0.619047619047619,3
"AFNetworking/AFNetworking",18,115,914,11918,0.558441558441558,0.623161902503952,4,7,23,0.3,0.3,1,0.824265876765613,8,0.25,5
"AFNetworking/AFNetworking",23,46,945,11950,0,0.573696682883437,8,12,21,0,0,1,0.553087304355949,12,0.5,8
"AFNetworking/AFNetworking",24,97,976,11987,0.0833333333333333,0.531416102681206,18,15,28,0.0952380952380952,0.0952380952380952,0.952380952380952,0.623205343667487,19,0.315789473684211,5
"AFNetworking/AFNetworking",32,57,1004,12026,0.0217391304347826,0.533546232385998,10,14,20,0.0714285714285714,0.142857142857143,0.714285714285714,0.728652757155365,11,0,14
"AFNetworking/AFNetworking",30,104,1035,12073,0.0330578512396694,0.6509336938769,13,17,15,0.157894736842105,0.105263157894737,0.842105263157895,0.779430303222084,14,0.142857142857143,5
"AFNetworking/AFNetworking",13,12,1065,12249,0,0.769430294686883,2,9,11,0,0.2,1,0.789001536931956,9,0,3
"AFNetworking/AFNetworking",23,38,1096,12436,0,0.641947629481652,5,9,8,0,0,0.888888888888889,0.657619174401422,9,0,6
"AFNetworking/AFNetworking",18,95,1126,12794,0,0.496775814841435,5,5,6,0,0,0.8,0.67757289852416,5,0,4
"AFNetworking/AFNetworking",19,82,1157,13199,0,0.6576108528556,1,8,9,0,0.125,1,0.768314807625653,8,0.25,7
"AFNetworking/AFNetworking",22,78,1188,13624,0,0.733211580266239,1,7,80,0,0.285714285714286,0.714285714285714,0.441631373805126,7,0.142857142857143,6
